FIPS,County,State,SY2017_18,SY2018_19,SY2019_20,SY2020_21,SY2021_22,SY2022_23,SY2023_24,MMR_pre_covid,MMR_post_covid,,
1001,Autauga,AL,,,0.8866,0.8977,0.9201,0.9123,,0.8866,0.9123,,
1003,Baldwin,AL,,,0.9291,0.8804,0.9332,0.9257,,0.9291,0.9257,,
1005,Barbour,AL,,,0.9256,0.9342,0.9248,0.9459,,0.9256,0.9459,,
1007,Bibb,AL,,,0.9598,0.9438,0.9474,0.9122,,0.9598,0.9122,,
1009,Blount,AL,,,0.9762,0.9626,0.9765,0.97,,0.9762,0.97,,
1011,Bullock,AL,,,0.9174,0.9159,0.9643,0.971,,0.9174,0.971,,
1013,Butler,AL,,,0.9813,0.9684,0.9828,0.9357,,0.9813,0.9357,,
1015,Calhoun,AL,,,0.9612,0.9626,0.9525,0.9411,,0.9612,0.9411,,
1017,Chambers,AL,,,0.975,0.9547,0.9465,0.9312,,0.975,0.9312,,
1019,Cherokee,AL,,,0.9632,0.9797,0.9496,0.9713,,0.9632,0.9713,,
1021,Chilton,AL,,,0.9286,0.9647,0.9431,0.9291,,0.9286,0.9291,,
1023,Choctaw,AL,,,0.8966,0.9237,0.9009,0.8929,,0.8966,0.8929,,
1025,Clarke,AL,,,0.9715,0.9796,0.9514,0.9341,,0.9715,0.9341,,
1027,Clay,AL,,,0.9745,0.957,0.9263,0.9844,,0.9745,0.9844,,
1029,Cleburne,AL,,,0.9684,0.9462,0.9399,0.9524,,0.9684,0.9524,,
1031,Coffee,AL,,,0.9684,0.971,0.9607,0.9612,,0.9684,0.9612,,
1033,Colbert,AL,,,0.9712,0.9326,0.9362,0.9359,,0.9712,0.9359,,
1035,Conecuh,AL,,,0.9863,0.9118,0.8793,0.9065,,0.9863,0.9065,,
1037,Coosa,AL,,,0.9839,0.9688,0.942,0.9859,,0.9839,0.9859,,
1039,Covington,AL,,,0.9915,0.9711,0.973,0.968,,0.9915,0.968,,
1041,Crenshaw,AL,,,0.9831,0.9797,0.9714,0.9837,,0.9831,0.9837,,
1043,Cullman,AL,,,0.9557,0.9564,0.9501,0.9148,,0.9557,0.9148,,
1045,Dale,AL,,,0.9634,0.9539,0.9448,0.9679,,0.9634,0.9679,,
1047,Dallas,AL,,,0.9441,0.9587,0.9331,0.9353,,0.9441,0.9353,,
1049,DeKalb,AL,,,0.9502,0.9547,0.9352,0.9396,,0.9502,0.9396,,
1051,Elmore,AL,,,0.9262,0.9399,0.9562,0.9357,,0.9262,0.9357,,
1053,Escambia,AL,,,0.9711,0.9559,0.9587,0.9695,,0.9711,0.9695,,
1055,Etowah,AL,,,0.9353,0.953,0.9553,0.9539,,0.9353,0.9539,,
1057,Fayette,AL,,,0.9281,0.9282,0.9412,0.88,,0.9281,0.88,,
1059,Franklin,AL,,,0.9517,0.9599,0.9626,0.9616,,0.9517,0.9616,,
1061,Geneva,AL,,,0.9896,0.9938,0.9743,0.9785,,0.9896,0.9785,,
1063,Greene,AL,,,0.8974,0.898,0.7966,0.7949,,0.8974,0.7949,,
1065,Hale,AL,,,0.9144,0.8871,0.8895,0.8968,,0.9144,0.8968,,
1067,Henry,AL,,,0.9833,0.9606,0.962,0.9417,,0.9833,0.9417,,
1069,Houston,AL,,,0.9351,0.9357,0.9285,0.9373,,0.9351,0.9373,,
1071,Jackson,AL,,,0.9361,0.9473,0.9476,0.94,,0.9361,0.94,,
1073,Jefferson,AL,,,0.9614,0.9569,0.9514,0.9557,,0.9614,0.9557,,
1075,Lamar,AL,,,0.9944,0.989,0.9703,0.9787,,0.9944,0.9787,,
